" ""Nom du Produit""            ";" ""Description""                                                                                                      ";" ""Prix""   ";" ""Site Web""                    ";" ""En Promotion"" ";" ""Identifiant"" ";" ""Catégorie"""
" ""iPhone 13""                 "; L'iPhone 13 dispose d'un écran Super Retina XDR, une puce A15 Bionic, 128 Go de stockage, et une autonomie accrue. Disponible en plusieurs couleurs avec une garantie de 2 ans. Achetez maintenant et bénéficiez de 10% de réduction. ; 899.99 ;" ""https://www.apple.com""       ";" ""Oui""          "; 1           ;" ""Smartphones"""
" ""Samsung Galaxy S21""        "; Le Galaxy S21 offre un écran AMOLED 120 Hz, un processeur Exynos 2100, et une caméra de 108 MP. Il est équipé de 256 Go de stockage et d'une batterie longue durée. Garantie de 1 an incluse. Actuellement sans promotion. ; 799.99 ;" ""https://www.samsung.com""     ";" ""Non""          "; 1           ;" ""Smartphones""       "
" ""Dell XPS 13""               "; Le Dell XPS 13 est un ordinateur portable ultra-fin avec un écran InfinityEdge, Intel i7, et 16 Go de RAM. Il dispose d'un disque SSD de 512 Go et d'une autonomie de 12 heures. Garantie de 2 ans et assistance technique 24/7. En promotion à -15%. ; 1299.99;" ""https://www.dell.com""        ";" ""Oui""          "; 2           ;" ""Ordinateurs"""
" ""MacBook Air""               ";" ""Le MacBook Air est doté d'une puce M1, 256 Go de stockage SSD, et une autonomie de 18 heures. Léger et puissant, il est idéal pour les professionnels et les étudiants. Garantie AppleCare+ disponible."" "; 999.99 ;" ""https://www.apple.com""       ";" ""Non""          "; 2           ;" ""Ordinateurs"""
" ""Nike Air Max 270""          ";" ""Les Nike Air Max 270 sont des baskets avec une unité Air visible et une tige en maille pour un confort optimal. Disponibles en plusieurs coloris, elles offrent un excellent amorti pour la course et les activités quotidiennes. Garantie de 1 an incluse."" "; 149.99 ;" ""https://www.nike.com""        ";" ""Oui""          "; 3           ;" ""Chaussures"""
" ""Adidas Ultraboost""         ";" ""Les Adidas Ultraboost offrent un amorti Boost, une tige Primeknit, et un design élégant pour la course. Elles sont confortables et durables, parfaites pour les marathons et les entraînements intenses. Garantie de 1 an."" "; 180.00 ;" ""https://www.adidas.com""      ";" ""Non""          "; 3           ;" ""Chaussures"""
" ""Sony WH-1000XM4""           ";" ""Les écouteurs Sony WH-1000XM4 offrent une réduction de bruit active, un son haute résolution, et 30 heures d'autonomie. Parfaits pour les voyages et les environnements bruyants, avec une garantie de 2 ans. Profitez de 20% de réduction ce mois-ci."" "; 349.99 ;" ""https://www.sony.com""        ";" ""Oui""          "; 4           ;" ""Électronique Audio"""
" ""Bose QuietComfort 35 II""   ";" ""Les Bose QC35 II offrent une réduction de bruit active, un confort supérieur, et une autonomie de 20 heures. Idéaux pour écouter de la musique ou des podcasts avec une qualité sonore exceptionnelle. Garantie de 2 ans incluse."" "; 299.99 ;" ""https://www.bose.com""        ";" ""Non""          "; 4           ;" ""Électronique Audio"""
" ""Philips Hue Starter Kit""   ";" ""Le kit de démarrage Philips Hue inclut 3 ampoules intelligentes et un pont pour une lumière personnalisable. Compatible avec Alexa et Google Assistant, il permet de contrôler l'éclairage à distance. Garantie de 2 ans. En promotion à -10%."" "; 199.99 ;" ""https://www.philips-hue.com"" ";" ""Oui""          "; 5       ;" ""Éclairage"""
" ""LIFX Smart Bulb""           ";" ""L'ampoule LIFX Smart offre un éclairage LED intelligent avec des millions de couleurs et une commande via app. Elle est facile à installer et compatible avec les principaux assistants vocaux. Garantie de 1 an incluse."" "; 59.99  ;" ""https://www.lifx.com""        ";" ""Non""          "; 5           ;" ""Éclairage"""
" ""Levi's 501 Original Fit""   ";" ""Le jean Levi's 501 Original Fit est un classique intemporel, offrant un ajustement parfait et une durabilité exceptionnelle. Fabriqué en coton de haute qualité, disponible en plusieurs tailles. Garantie de satisfaction de 30 jours."" "; 89.99  ;" ""https://www.levi.com""        ";" ""Oui""          "; 6           ;" ""Pantalons"""
" ""Calvin Klein Slim Fit""     ";" ""La chemise Calvin Klein Slim Fit est élégante et moderne, parfaite pour les occasions formelles et décontractées. Fabriquée en coton stretch, elle offre un confort optimal et une coupe ajustée. Garantie de 1 an incluse."" "; 69.99  ;" ""https://www.calvinklein.com"" ";" ""Non""          "; 7           ;" ""Chemises"""
" ""Nike Air Force 1""          ";" ""Les Nike Air Force 1 sont des baskets emblématiques, offrant un style unique et un confort inégalé. Conçues en cuir premium avec une semelle en caoutchouc résistante. Garantie de 1 an."" "; 99.99  ;" ""https://www.nike.com""        ";" ""Oui""          "; 3           ;" ""Chaussures"""
" ""Gucci Marmont Shoulder Bag""";" ""Le sac à épaule Gucci Marmont est luxueux et élégant, fabriqué en cuir souple avec un motif matelassé. Parfait pour ajouter une touche de glamour à toute tenue. Garantie de 2 ans incluse."" "; 1299.99;" ""https://www.gucci.com""       ";" ""Non""          "; 8           ;" ""Accessoires"""
" ""Zara Basic T-Shirt""        ";" ""Le t-shirt basique de Zara est un essentiel de garde-robe, offrant un confort exceptionnel et un design polyvalent. Disponible en plusieurs couleurs et tailles. Garantie de satisfaction de 30 jours."" "; 19.99  ;" ""https://www.zara.com""        ";" ""Oui""          "; 9           ;" ""Vêtements"""
" ""Ray-Ban Aviator Sunglasses""";" ""Les lunettes de soleil Ray-Ban Aviator offrent une protection UV optimale et un style intemporel. Conçues avec des matériaux de haute qualité pour une durabilité exceptionnelle. Garantie de 2 ans incluse."" "; 149.99 ;" ""https://www.ray-ban.com""     ";" ""Non""          "; 10          ;" ""Accessoires"""
" ""Apple Watch Series 7""      ";" ""L'Apple Watch Series 7 dispose d'un écran plus grand, d'une résistance accrue et de nouvelles fonctionnalités de santé. Suivi de l'activité, notifications et plus encore. Garantie de 1 an incluse. En promotion à -10%."" "; 399.99 ;" ""https://www.apple.com""       ";" ""Oui""          "; 11          ;" ""Montres Intelligentes"""
" ""Samsung Galaxy Watch 4""    ";" ""La Samsung Galaxy Watch 4 offre un suivi avancé de la condition physique, des notifications, et une autonomie de plusieurs jours. Compatible avec Android et iOS. Garantie de 2 ans."" "; 349.99 ;" ""https://www.samsung.com""     ";" ""Non""          "; 11          ;" ""Montres Intelligentes"" "
" ""Beats by Dre Studio3""      ";" ""Les écouteurs Beats Studio3 offrent une réduction de bruit active, un son premium, et une autonomie de 22 heures. Idéals pour les amateurs de musique exigeants. Garantie de 2 ans. En promotion à -15%."" "; 299.99 ;" ""https://www.beatsbydre.com""  "; Oui          ; 4           ;" ""Électronique Audio"""
" ""Asus ROG Strix G15""        ";" ""Le Asus ROG Strix G15 est un ordinateur portable de gaming puissant avec un processeur AMD Ryzen 9, une carte graphique NVIDIA RTX 3070, et un écran 300Hz. Garantie de 2 ans et support technique 24/7."" "; 1799.99;" ""https://www.asus.com""        ";" ""Non""          "; 2           ;" ""Ordinateurs"""
" ""Lenovo ThinkPad X1 Carbon"" ";" ""Le Lenovo ThinkPad X1 Carbon est un ultrabook professionnel avec un écran 14\"" FHD, Intel i7, et 16 Go de RAM. Léger, durable et sécurisé, il est parfait pour les voyages d'affaires. Garantie de 3 ans incluse."" "; 1399.99;" ""https://www.lenovo.com"" ";" ""Oui"" "; 2 ;" ""Ordinateurs"""
" ""HP Spectre x360""           ";" ""Le HP Spectre x360 est un ordinateur portable convertible avec un écran 13"" OLED, Intel i7, et 16 Go de RAM. Parfait pour la productivité et le divertissement, avec une garantie de 2 ans. En promotion à -10%."" "; 1199.99;" ""https://www.hp.com""          ";" ""Oui""          "; 2           ;" ""Ordinateurs"""
" ""Fitbit Charge 5""           ";" ""Le Fitbit Charge 5 offre un suivi avancé de la condition physique, de la fréquence cardiaque, et du sommeil. Compatible avec les principaux smartphones et étanche jusqu'à 50 mètres. Garantie de 1 an incluse."" "; 179.99 ;" ""https://www.fitbit.com""      ";" ""Non""          "; 11          ;" ""Montres Intelligentes"""
 Under Armour HOVR Phantom 2 ; Les Under Armour HOVR Phantom 2 sont des chaussures de course offrant un excellent amorti et une connexion Bluetooth pour le suivi de l'activité. Disponibles en plusieurs tailles et couleurs. Garantie de 1 an. ; 160.00 ; https://www.underarmour.com ; Oui          ; 3           ; Chaussures
 Jabra Elite 85t           ; Les écouteurs Jabra Elite 85t offrent une réduction de bruit active, une autonomie de 25 heures, et un son de haute qualité. Confortables et résistants à l'eau, avec une garantie de 2 ans. En promotion à -20%. ; 229.99 ; https://www.jabra.com       ; Oui          ; 4           ; Électronique Audio
 Microsoft Surface Laptop 4;" Le Microsoft Surface Laptop 4 combine un design élégant avec des performances puissantes grâce à un processeur Intel i7 et 16 Go de RAM. Écran tactile PixelSense de 13.5"". Garantie de 2 ans. "; 1299.99; https://www.microsoft.com   ; Non          ; 2           ; Ordinateurs
 Logitech MX Master 3      ; La souris Logitech MX Master 3 offre une précision et un confort inégalés avec des commandes intuitives et une batterie rechargeable. Parfaite pour les professionnels. Garantie de 2 ans. ; 99.99  ; https://www.logitech.com    ; Non          ; 12          ; Accessoires
 Sony Bravia XR A90J       ; Le téléviseur Sony Bravia XR A90J OLED offre une qualité d'image exceptionnelle avec un contraste infini et des couleurs vibrantes. Equipé de Google TV et compatible avec Alexa. Garantie de 3 ans. ; 2499.99; https://www.sony.com        ; Non          ; 13          ; Téléviseurs
 LG CX OLED TV             ; Le téléviseur LG CX OLED offre une expérience cinématographique avec une qualité d'image parfaite et un design ultra-fin. Compatible avec tous les principaux services de streaming. Garantie de 2 ans. ; 1999.99; https://www.lg.com          ; Oui          ; 13          ; Téléviseurs
 Patagonia Nano Puff Jacket; La veste Patagonia Nano Puff offre une isolation légère et compressible, parfaite pour les aventures en plein air. Fabriquée avec des matériaux recyclés et garantie à vie. En promotion à -15%. ; 199.99 ; https://www.patagonia.com   ; Oui          ; 14          ; Vêtements
 The North Face Apex Bionic ; La veste The North Face Apex Bionic est résistante au vent et à l'eau, idéale pour les activités de plein air. Conçue pour offrir une liberté de mouvement optimale. Garantie de 1 an. ; 169.99 ; https://www.thenorthface.com; Non          ; 14          ; Vêtements
 JBL Flip 5                ; L'enceinte portable JBL Flip 5 offre un son puissant et une autonomie de 12 heures. Étanche et durable, elle est parfaite pour les fêtes en extérieur. Garantie de 1 an incluse. ; 119.99 ; https://www.jbl.com         ; Oui          ; 4           ; Électronique Audio
 Anker PowerCore 20000     ; La batterie externe Anker PowerCore 20000 offre une capacité élevée et une recharge rapide pour tous vos appareils mobiles. Compacte et légère, avec une garantie de 18 mois. ; 49.99  ; https://www.anker.com       ; Non          ; 15          ; Accessoires
 Dyson V11 Absolute        ; L'aspirateur sans fil Dyson V11 Absolute offre une puissance d'aspiration exceptionnelle et une autonomie de 60 minutes. Idéal pour tous les types de sols. Garantie de 2 ans incluse. ; 599.99 ; https://www.dyson.com       ; Oui          ; 16          ; Électroménager
 Instant Pot Duo 7-in-1    ; Le multicuiseur Instant Pot Duo 7-en-1 offre une cuisson rapide et facile avec des fonctions de cuisson sous pression, de rôtissage, et plus encore. Garantie de 1 an incluse. En promotion à -10%. ; 99.99  ; https://www.instantpot.com  ; Oui          ; 17          ; Cuisine
 KitchenAid Stand Mixer    ; Le batteur sur socle KitchenAid offre une puissance et une polyvalence inégalées, parfait pour tous vos besoins en pâtisserie. Disponible en plusieurs couleurs. Garantie de 2 ans. ; 399.99 ; https://www.kitchenaid.com  ; Non          ; 17          ; Cuisine
 Columbia Silver Ridge Pants ; Les pantalons Columbia Silver Ridge offrent confort et durabilité pour les randonnées et les activités de plein air. Fabriqués avec des matériaux respirants et résistants. Garantie de 1 an. ; 79.99  ; https://www.columbia.com    ; Oui          ; 6           ; Pantalons
 Tommy Hilfiger Oxford Shirt; La chemise Oxford de Tommy Hilfiger est un choix élégant et intemporel, idéale pour les occasions formelles et décontractées. Fabriquée en coton de haute qualité avec une garantie de 1 an. ; 79.99  ; https://www.tommy.com       ; Non          ; 7           ; Chemises
 Bose SoundLink Revolve    ; L'enceinte portable Bose SoundLink Revolve offre un son à 360 degrés et une autonomie de 12 heures. Résistante à l'eau, elle est idéale pour toutes vos activités en extérieur. Garantie de 2 ans. ; 199.99 ; https://www.bose.com        ; Oui          ; 4           ; Électronique Audio
 GoPro HERO9 Black         ; La caméra GoPro HERO9 Black offre une résolution 5K, une stabilisation avancée, et une durabilité extrême. Parfaite pour capturer vos aventures les plus audacieuses. Garantie de 1 an. ; 449.99 ; https://www.gopro.com       ; Non          ; 18          ; Électronique
 Canon EOS R6              ; L'appareil photo Canon EOS R6 offre une qualité d'image exceptionnelle avec un capteur plein format de 20 MP et une mise au point rapide. Idéal pour les professionnels et les amateurs. Garantie de 2 ans. ; 2499.99; https://www.canon.com       ; Non          ; 18          ; Électronique
 Yamaha YAS-209 Soundbar   ; La barre de son Yamaha YAS-209 offre un son surround immersif avec un caisson de basses sans fil et la compatibilité avec Alexa. Garantie de 1 an incluse. ; 349.99 ; https://www.yamaha.com      ; Oui          ; 4           ; Électronique Audio
 Fujifilm Instax Mini 11   ; L'appareil photo instantané Fujifilm Instax Mini 11 permet de capturer et d'imprimer des souvenirs instantanés. Disponible en plusieurs couleurs. Garantie de 1 an incluse. En promotion à -20%. ; 69.99  ; https://www.fujifilm.com    ; Oui          ; 18          ; Électronique
 Black+Decker Dustbuster   ; L'aspirateur à main Black+Decker Dustbuster offre une aspiration puissante pour un nettoyage rapide et efficace. Léger et sans fil, avec une garantie de 2 ans. ; 59.99  ; https://www.blackanddecker.com; Non        ;;NULL
 Philips Sonicare DiamondClean ; La brosse à dents électrique Philips Sonicare DiamondClean offre un nettoyage supérieur avec plusieurs modes de brossage. Garantie de 2 ans incluse. En promotion à -15%. ; 199.99 ; https://www.philips.com     ; Oui          ; 19          ; Hygiène
 Oral-B Genius X           ; La brosse à dents électrique Oral-B Genius X utilise l'intelligence artificielle pour améliorer votre routine de brossage. Garantie de 2 ans incluse. ; 179.99 ; https://www.oralb.com       ; Non          ; 19          ; Hygiène
 Sony Alpha a7 III         ; L'appareil photo Sony Alpha a7 III offre une qualité d'image exceptionnelle avec un capteur plein format de 24 MP et une mise au point rapide. Garantie de 2 ans. ; 1999.99; https://www.sony.com        ; Non          ; 18          ; Électronique
 Pioneer DJ DDJ-400        ; La console DJ Pioneer DDJ-400 offre des fonctionnalités professionnelles et une compatibilité avec les logiciels de DJ. Parfaite pour les débutants et les professionnels. Garantie de 1 an incluse. ; 249.99 ; https://www.pioneerdj.com   ; Oui          ; 20          ; Instruments Musicaux
 Fender Stratocaster       ; La guitare électrique Fender Stratocaster est un classique du rock, offrant une jouabilité exceptionnelle et un son riche. Garantie de 2 ans incluse. ; 1299.99; https://www.fender.com      ; Non          ; 20          ; Instruments Musicaux
 Microsoft Xbox Series X   ; La console de jeu Microsoft Xbox Series X offre des performances de nouvelle génération avec des graphismes 4K et une compatibilité avec tous les jeux Xbox. Garantie de 1 an incluse. ; 499.99 ; https://www.microsoft.com   ; Non          ; 21          ; Consoles de Jeu
 Sony PlayStation 5        ; La console de jeu Sony PlayStation 5 offre des performances de nouvelle génération avec des graphismes 4K et des jeux exclusifs. Garantie de 1 an incluse. ; 499.99 ; https://www.sony.com        ; Non          ; 21          ; Consoles de Jeu
 Nintendo Switch OLED      ; La console Nintendo Switch OLED offre un écran amélioré et des fonctionnalités portables et de salon. Garantie de 1 an incluse. En promotion à -10%. ; 349.99 ; https://www.nintendo.com    ; Oui          ; 21          ; Consoles de Jeu
 Segway Ninebot ES4        ; La trottinette électrique Segway Ninebot ES4 offre une autonomie de 45 km et une vitesse maximale de 30 km/h. Parfaite pour les déplacements urbains. Garantie de 1 an incluse. ; 699.99 ; https://www.segway.com      ; Non          ; 22          ; Mobilité Urbaine
 Xiaomi Mi Electric Scooter ; La trottinette électrique Xiaomi Mi offre une autonomie de 30 km et une vitesse maximale de 25 km/h. Garantie de 1 an incluse. En promotion à -15%. ; 499.99 ; https://www.mi.com          ; Oui          ; 22          ; Mobilité Urbaine
 Bose Sleepbuds II         ; Les écouteurs Bose Sleepbuds II sont conçus pour améliorer la qualité de votre sommeil avec des sons relaxants. Garantie de 2 ans incluse. ; 249.99 ; https://www.bose.com        ; Non          ; 4           ; Électronique Audio
 Garmin Forerunner 945     ; La montre de course Garmin Forerunner 945 offre un suivi GPS avancé, des fonctionnalités de santé et une autonomie de longue durée. Garantie de 2 ans incluse. ; 599.99 ; https://www.garmin.com      ; Non          ; 11          ; Montres Intelligentes
 Oculus Quest 2            ; Le casque VR Oculus Quest 2 offre une expérience immersive avec des performances de pointe et une bibliothèque de jeux variée. Garantie de 1 an incluse. ; 299.99 ; https://www.oculus.com      ; Oui          ; 23          ; Réalité Virtuelle
